../../pH7.03/CEST/ppm.txt,../../pH7.03/CEST/13.42mM.txt,../../pH7.03/CEST/16.77mM.txt,../../pH7.03/CEST/20.97mM.txt,../../pH7.03/CEST/26.21mM.txt,../../pH7.03/CEST/32.76mM.txt,../../pH7.03/CEST/40.96mM.txt,../../pH7.03/CEST/51.20mM.txt,../../pH7.03/CEST/64.00mM.txt,../../pH7.03/CEST/80.00mM.txt
-5.0,0.9888907783569488,0.9861508350994744,0.9915535053457233,1.0171925758283529,1.0325195360126898,1.0160880054813204,1.117780970791508,1.1351592499972687,1.1284824686576924
-4.85,0.9881527901912275,0.97815227308611,0.9682668382566549,1.0087447335072195,1.0234132751780036,0.9892583733301958,1.1097864883381927,1.143080115110847,1.1266598450675345
-4.7,0.9799578952321485,0.9691592245639886,0.9589162733736732,0.9965220232234789,1.0192253716360802,0.9744111687106102,1.0943670047769603,1.140936896497433,1.1200300232135763
-4.55,0.9644904175281357,0.9554624591366085,0.9456384237653108,0.997919734559853,1.0018609253405224,0.9739670909533357,1.0988238539454536,1.1190364181067365,1.118491411811997
-4.4,0.9638067924147065,0.9478704070865326,0.9207039796984308,0.9980369706811297,1.0081218904272429,0.9644627970193664,1.0945312964717988,1.1086995059848257,1.0970047446933993
-4.25,0.9608631434161328,0.9452930279603634,0.9179636038352845,0.9985722616887602,0.9999983308683215,0.9552313815368852,1.1035655622804754,1.1176369094883591,1.0916019885942325
-4.1,0.935557337191308,0.9326801936432666,0.9261376677334435,0.9916544858927908,0.9885802183380716,0.9334377834765974,1.0908962020120725,1.0893495941582894,1.0676086676109382
-3.95,0.9351081176016838,0.9192021236076664,0.9066486433879577,0.9775366976299258,0.9774953062191585,0.9449558499690838,1.0836585988957796,1.1027589203043628,1.0692903616519738
-3.8,0.9371602903895205,0.9062120373532875,0.9014918140218211,0.9763977419545973,0.9745642588312061,0.9283339107412641,1.0707885693268295,1.098580414495802,1.0741226793030016
-3.65,0.9241048974233643,0.9037362737856297,0.8773967561385022,0.9881914592556544,0.9599947213710665,0.9012584620301431,1.0636349783357733,1.0937337948932968,1.0611220588867598
-3.5,0.9150060275088289,0.898539895633328,0.8600914688089609,0.9779590179515277,0.947474512489669,0.8947798452070315,1.0475867072673923,1.0618753327069648,1.0465344804041703
-3.35,0.8962823456917519,0.8891095517861333,0.8551864826870438,0.9804207653381778,0.9494802350033084,0.8695418201071535,1.050254773583175,1.0570633850463136,1.0246605180061314
-3.2,0.8891924003134287,0.8736268535412903,0.8219263301221683,0.9720532905742455,0.9315959585106024,0.8591290348294951,1.0453621633560677,1.0634154868891117,1.0304631617009337
-3.05,0.8672195206000505,0.8564873778107512,0.8169623660282499,0.9640142543244228,0.9096060875318732,0.8380660027447588,1.0437911129153772,1.0434239230967488,1.0243216998817823
-2.9,0.85165572903967,0.8268475178598055,0.7839776113775263,0.9556509182996422,0.9000877076536729,0.8120059267118788,1.0109359140341487,1.0413847203088973,0.9919032711770952
-2.75,0.8263610808637644,0.8004425073584175,0.7552278585646148,0.953999814770307,0.8924655656830699,0.7798876127528455,1.0117461155945227,1.0325980039697795,0.9756845636537342
-2.6,0.8001470613548242,0.783213777943324,0.7261202664927882,0.9428410138407461,0.8639001504565726,0.7653964165116213,1.0165605198940475,1.0130261664534879,0.9533643895953019
-2.45,0.7810843564932622,0.7513044879425432,0.6829867814479037,0.9373345058634742,0.8395782938814066,0.7345392392434631,0.9874606867096609,0.9974208243472061,0.9293584110506514
-2.3,0.7573661503373234,0.7332335283041094,0.6546890865736373,0.9320827415041927,0.8384173084782239,0.6886772678167217,0.9760471240481094,0.9795419122832713,0.9182161685731413
-2.15,0.7279364070788393,0.690805333609272,0.6024832647722017,0.9134611181716031,0.7988427179827291,0.6554571933161226,0.9596605530960187,0.9627550085009412,0.8834742291724559
-2.0,0.6816664001132757,0.6365818110727643,0.5475945386763116,0.897613210247231,0.7787980113339257,0.6056337288065322,0.9549092467607935,0.9297250893939287,0.8585547531198117
-1.85,0.6463576625219561,0.585180518679412,0.49570679621613406,0.8815418526406994,0.7391157096847975,0.5652909644653192,0.9243550795579422,0.9225702910466373,0.8334079629240455
